name,party,status,votes
NOTA,None of the Above,,23250
BOBBILI SRINU,Indian National Congress,lost,10623
PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,lost,8038
VELURI VENKATA TRINADHARAO,Independent,lost,4152
ALLU SRIRAMULU,Independent,lost,3401
SIYYADULA YELLA RAO,Independent,lost,3107
SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,lost,1761
MARISERLA KRISHNAMURTHY NAIDU,Independent,lost,1629
VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,lost,1553
CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,lost,1411
ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,lost,1070
ADINARAYANA TADDI,Independent,lost,856
P V A ANANDA SAGAR,Independent,lost,791
SAKHINETI ANANTHA RAJU,Pyramid Party of India,lost,725
KADIYAM KAVYA,Indian National Congress,won,581294
AROORI RAMESH,Bharatiya Janata Party,lost,360955
Dr. MARAPALLY SUDHEER KUMAR,Bharat Rashtra Samithi,lost,232033
AMBOJU BUDDAIAH,Alliance of Democratic Reforms Party,lost,11115
KALPANA PANJA,Bahujan Samaj Party,lost,9327
NOTA,None of the Above,,8380
KONGARA ANIL KUMAR,Independent,lost,6259
ANIL KUMAR GADEPAKA,Independent,lost,4486
BUNGA JYOTHI RAMANA,Aihra National Party,lost,4265
MEKALA SUMAN,Dharma Samaj Party,lost,4038
AR NENA PREM READY RIPEEKA,Mana Telangana Rashtra Samaikya Party,lost,3634
KOYYADA NARESH,Independent,lost,3286
PRAMEELA JANNU,Independent,lost,3022
BARIGELA SHIVA,Independent,lost,2949
S P K  SAGAR,Jai Maha Bharath Party,lost,2773
PASULA RAVI,Republican Party of India (Athawale),lost,2239
DEVARAJU PENDELA,Rashtriya Praja Congress  (Secular),lost,2083
POTHARAJU NARASIMHARAJU,Independent,lost,1955
BOLLAM VIJAY KUMAR,Independent,lost,1825
MACHA DEVENDER,Viduthalai Chiruthaigal Katchi,lost,1769
NARMADA PRAVEEN,Pyramid Party of India,lost,1664
ROOPA POLEPAKA,Independent,lost,1659
DHAYAKAR GAJJI,Independent,lost,1638
POGULA ASHOK,Independent,lost,1337
THANDRA ESHWAR,Independent,lost,1292
MANDA NARESH,Independent,lost,1051
KOTHAPALLI SAVITHRI,Marxist Communist Party of India (United),lost,1023
BOCHU RAJU,Independent,lost,913
PUTTA VINOD KUMAR,Independent,lost,909
PAITHARA ACHYUTH,Independent,lost,906
MANGALAPELLI ASHAIAH,Independent,lost,847
GADDAM CHIRANJEEVI,Independent,lost,826
MOTHKUPELLY PRABHAKAR,Independent,lost,819
GANNARAPU RAVINDER,Independent,lost,752
GANIPAKA PRADEEP,Independent,lost,713
RAMESH BABU SHANIGARAPU,Independent,lost,662
Dr GADAM MALLESH,Jai Bharat National Party,lost,567
THALLAPALLY VENKATAIAH,Independent,lost,538
BASHIPAKA SUDHAKAR,Independent,lost,505
RK GANAPURAM,Independent,lost,474
CHILUVERU PRATHAP,Independent,lost,401
THATIKAYALA SATHISH BABU,Independent,lost,384
CHILUMULLA SUJATHA,Independent,lost,379
AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,won,533106
RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,lost,451458
DR. MOHAN RAMRAOJI  RAIKWAR,Bahujan Samaj Party,lost,20795
PROF. RAJENDRA GULABRAO  SALUNKHE,Vanchit Bahujan  Aaghadi,lost,15492
ASIF,Independent,lost,15182
KISHOR BABA PAVAR,Independent,lost,12920
SUHAS V. THAKARE,Independent,lost,7648
AKSHAY MEHARE BHARTIYA,Akhil Bhartiya Parivar Party,lost,5467
MAROTI GULABRAO UIKE,Gondvana Gantantra Party,lost,4672
NOTA,None of the Above,,4634
ADV. BHASKAR MAROTRAO  NEWARE,Independent,lost,4032
JAGADISH UDDVRAO  WANKHADE,Independent,lost,2349
POOJA PANKAJ TADAS,Independent,lost,2135
ANIL K. GHUSHE,Independent,lost,1971
ASHISH LEKHIRAM IZANKAR,Vidarbha Rajya Aghadi,lost,1828
VIJAY DNYANESHWARRAO  SHRIRAO,Independent,lost,1738
ARVIND SHAMRAO LILLORE,Independent,lost,1476
RAMRAO BAJIRAO GHODASKAR,All India Forward Bloc,lost,1438
KRUSHNA SUBHASHRAO FULKARI,Lok Swarajya Party,lost,1343
UMESH SOMAJI WAWARE,Maharashtra Vikas Aghadi,lost,1246
KRUSHNA ANNAJI KALODE,Hindrashtra Sangh,lost,1061
RAMESH SINHA,Independent,lost,799
DR. MORESHWAR RAMJI NAGRALE,Republican Party of India,lost,797
DIXITA ANAND,Desh Janhit Party,lost,736
RAHUL T. BHOYAR,Independent,lost,689
RAHUL GANDHI,Indian National Congress,won,647445
ANNIE RAJA,Communist Party of India,lost,283023
K SURENDRAN,Bharatiya Janata Party,lost,141045
NOTA,None of the Above,,6999
P.R KRISHNANKUTTY,Bahujan Samaj Party,lost,1973
SATHYAN K.P,Independent,lost,1059
SINOJ A.C,Independent,lost,903
PRASEETHA AZHIKODE,Independent,lost,840
AJEEB MUHAMMED,Independent,lost,804
P RADHAKRISHNAN,Independent,lost,562
KAMALJEET SEHRAWAT,Bharatiya Janata Party,won,842658
MAHABAL MISHRA,Aam Aadmi Party,lost,643645
NOTA,None of the Above,,8699
VISHAKHA,Bahujan Samaj Party,lost,7964
SABIR KHAN,Independent,lost,3097
AJ RAJAN,Navarang Congress Party,lost,2387
SUNIL MEGHWAL,Ambedkarite Party of India,lost,1876
OM PRAKASH NARAYAN,Aapki Apni Party (Peoples),lost,1773
ANJU SHARMA,Independent,lost,1267
KAPIL MARWAH,Independent,lost,1155
JARNAIL SINGH,Independent,lost,1089
MADHU,Akhil Bhartiya Parivar Party,lost,1059
RAJIV KANT MISHRA,Independent,lost,995
RAMESH KUMAR JAIN @ NIRBHIK,Gareeb Aadmi Party,lost,971
UMA SHANKAR TIWARI,Bhartiya Mahasangh Party,lost,758
MEENA UJJAINWAL,Peoples Party of India (Democratic),lost,756
CHARANJEET SINGH,All India Forward Bloc,lost,619
UMESH CHAUHAN,Rashtriya Rashtrawadi Party,lost,614
PRAMOD KUREEL,Bahujan National Party (Ambedkar),lost,586
AMIT KUMAR SINGH,Rashtriya Suraksha Party,lost,574
JAYA RAMAN,Sarvlokhit Samaj Party,lost,446
RAM NARAYAN MOHANTY,Independent,lost,434
CHAMAN LAL VERMA,Samaj Vikas Kranti Party,lost,420
DEEPAK SHARMA,Bharatiya Jan Jagriti Party,lost,370
RAVI,Independent,lost,282
SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),won,594807
RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,lost,500334
ANIL JAYRAM RATHOD,Samnak Janta Party,lost,56390
HARISING (HARIBHAU) NASARU RATHOD,Bahujan Samaj Party,lost,17396
NOTA,None of the Above,,9391
SANGITA DINESH CHAVHAN,Independent,lost,7180
RAMDAS BAJIRAO GHODAM,Independent,lost,6781
VINOD PANJABRAO NANDAGAVALI,Independent,lost,6298
SANDIP SAMPAT SHINDE,Independent,lost,5514
DHARAM DILIPSING THAKUR,Sanman Rajkiya Paksha,lost,4555
AMOL KOMAWAR,Hindrashtra Sangh,lost,3377
UTTAM ONKAR INGOLE,Peoples Party of India (Democratic),lost,2975
MANOJ MAHADEORAO GEDAM,Independent,lost,2794
NUR ALI MAHEBUB ALI SHAH,Independent,lost,1958
DR ARJUNKUMAR SITARAM RATHOD,Independent,lost,1863
PRO KISAN RAMRAO AMBURE,Independent,lost,1720
DIKSHANT NAMDEVRAO SAWAIKAR,Independent,lost,1103
GOKUL PREMDAS CHAVHAN,Independent,lost,1094
SURESH KUMAR SHETKAR,Indian National Congress,won,528418
B. B. PATIL,Bharatiya Janata Party,lost,482230
ANILKUMAR GALI,Bharat Rashtra Samithi,lost,172078
KOTHA BALIJA BASWARAJ,Telangana Praja Shakthi Party,lost,8373
CHAVAGANI MANI,Alliance of Democratic Reforms Party,lost,6309
YAKUB SHARIF MD,Independent,lost,5489
MAHADHEV SWAMI MATAM,Independent,lost,5412
B. MARUTHI RAO,Independent,lost,4252
S. RAJU,Independent,lost,3514
